# Derived from JMdict common-only data (2026-08-31) via scriptin/jmdict-simplified.
# Original data © EDRDG under the EDRDG Dictionary License; distribution terms: CC BY-SA 4.0.
# See docs/katakana-english-dictionary-notice.md.
ティーシャツ	tee shirt
ティーバック	bikini thong
ウンチ	poo
ウンチ	poop
ウンチ	doo-doo
オシャレ	dressing smartly
オシャレ	dressing nicely
オシャレ	making oneself look attractive
ギザギザ	notches
ギザギザ	serration
ギザギザ	indentation
コロコロ	roller
コロコロ	lint roller
コロコロ	paint roller
ゴロゴロ	thunder
ジャンケン	janken
チンピラ	delinquent boy
チンピラ	delinquent girl
チンピラ	hooligan
ツツジ	azalea
ツツジ	rhododendron
ヌルヌル	slimy
ヌルヌル	slippery
ヌルヌル	greasy
ネタ	information
ネタ	news item
ネタ	joke
ヤクザ	gangster
ヤクザ	mobster
ヤクザ	hoodlum
アーキテクチャ	architecture
アーク	arc
アース	earth
アース	ground
アース	earthing
アーチ	arch
アーチ	home run
アーチェリー	archery
アーティスト	artist
アーティスト	musician
アーチスト	artist
アーチスト	musician
アート	art
アーバン	urban
アーム	arm
アーム	automated retroactive minimal moderation
アイコン	icon
アイシャドウ	eyeshadow
アイス	ice
アイス	ice cream
アイス	ice pop
アイスクリーム	ice cream
アイスホッケー	ice hockey
アイテム	item
アイテム	must-have
アイテム	must-have item
アイデア	idea
アイディア	idea
アイデンティティ	identity
アイデンティティー	identity
アイドル	idol
アイドル	star
アイドル	celebrity
アイボリー	ivory
アイリス	iris
アイロン	hair iron
アイロン	hair tong
アイロン	curling tong
アウト	outside the line
アウト	out
アウト	putout
アウトドア	outdoors
アカデミー	academy
アカデミー	academia
アカデミック	academic
アクシデント	accident
アクション	action
アクセサリー	jewelry
アクセル	gas pedal
アクセント	stress
アクセント	pitch accent
アクセント	intonation
アクティビティ	activity
アクロバット	acrobat
アクロバット	acrobatics
アコーディオン	accordion
アコード	accord
アシスタント	assistant
アシスト	assistance
アシスト	help
アジト	hideout
アジト	secret base of operations
アジト	safe house
アスパラガス	asparagus
アスファルト	asphalt
アスベスト	asbestos
アスリート	athlete
アスレチック	athletics
アスレチック	sports
アスレチック	adventure course
アセスメント	assessment
アタック	attack
アタック	tackling
アタック	confronting
アダプター	adapter
アダルト	adult
アダルト	pornographic
アダルト	explicit
アット	at sign
アッパー	uppercut
アッパー	stimulant
アップ	rise
アップ	increase
アップ	raising
アトピー	atopy
アトピー	atopic dermatitis
アトピー	eczema
アトム	atom
アトラクション	attraction
アトリエ	atelier
アトリエ	studio
アトリエ	workshop
アド	ad
アド	advertisement
アドバイザー	adviser
アドバイザー	advisor
アドバイス	advice
アドバンテージ	advantage
アドバンテージ	advantage rule
アドベンチャー	adventure
アドリブ	ad lib
アドリブ	ad-lib
アドレス	address
アドレス	email address
アドレナリン	adrenalin
アナ	announcer
アナウンサー	announcer
アナウンサー	presenter
アナウンサー	broadcaster
アナウンス	official announcement
アナウンス	formal information release
アナリスト	analyst
アナログ	analog
アナログ	analogue
アニマル	animal
アニメ	animation
アニメ	animated film
アニメ	animated cartoon
アニメーション	animation
アニメーション	animated film
アニメーション	animated cartoon
アパート	apartment building
アパート	apartment block
アパート	apartment house
アピール	plea
アピール	request
アピール	attractiveness
アフタヌーン	afternoon
アフタヌーン	afternoon dress
アプリ	app
アプリ	application
アプリケーション	application
アプリケーション	application software
アプリケーション	putting into use
アプローチ	approach shot
アベニュー	avenue
アベニュー	boulevard
アマ	amateur
アマチュア	amateur
アミューズメント	amusement
アメーバ	amoeba
アメーバ	ameba
アリーナ	arena
アリア	aria
アリバイ	alibi
アルカディア	arcadia
アルカリ	alkali
アルコール	alcohol
アルコール	alcoholic drink
アルゴリズム	algorithm
アルデヒド	aldehyde
アルト	alto
アルバイト	part-time job
アルバイト	side job
アルバイト	part-time worker
アルバム	album
アルパイン	alpine
アルファ	alpha
アルファベット	alphabet
アルプス	range of high mountains
アルミ	aluminum
アルミ	aluminium
アルミニウム	aluminum
アレルギー	allergy
アレンジ	interpretation
アレンジ	take
アレンジ	organization
アロハ	aloha shirt
アワー	hour
アンカー	anchorman
アンカー	anchor bolt
アングル	angle
アンケート	questionnaire
アンケート	survey
アンケート	poll
アンコール	encore
アンサンブル	ensemble
アンサンブル	coordination
アンサンブル	outfit
アンソロジー	anthology
アンダー	underexposure
アンダー	underdevelopment
アンダー	under par
アンダーライン	underline
アンチ	hater
アンティーク	antique
アンテナ	antenna
アンドロイド	android
アンバランス	unbalance
アンバランス	imbalance
アンプ	amp
アンプ	ampere
アンプ	amplifier
アンモニア	ammonia
イーグル	eagle
イエロー	yellow
イエロー	yellow card
イエロー	yellow-skinned person
イオン	ion
イクラ	salted salmon roe
イコール	equals sign
イコール	equality sign
イズム	ism
イット	sex appeal
イデオロギー	ideology
イニング	inning
イノベーション	innovation
イブ	the night before
イブニング	evening
イベント	event
イメージ	impression
イメージ	imagining
イメージ	mental image
イヤホン	earphones
イヤホン	earphone
イヤリング	earring
イラスト	illustration
イラスト	picture
イラスト	sketch
イラストレーター	illustrator
イリュージョン	illusion
イルミネーション	illumination
イルミネーション	decorative lighting
イレブン	eleven
イン	inside the line
イン	back nine
イン	check-in time
インク	ink
インサイダー	insider
インスリン	insulin
インシュリン	insulin
インスタント	instant
インストラクター	instructor
インスピレーション	inspiration
インセンティブ	incentive
インター	interchange
インター	international
インター	interview
インターナショナル	international
インターン	intern
インターン	internship
インタラクティブ	interactive
インチ	inch
インチキ	cheating
インチキ	fraud
インチキ	trickery
インテグレーション	integration
インテリ	intellectual
インテリ	educated person
インテリ	intelligentsia
インテリア	interior design
インテリジェンス	intelligence
インテリジェント	intelligent
インディペンデント	independent
インデックス	index
イントネーション	intonation
イントロ	intro
イントロ	introduction
インドア	indoor
インバーター	inverter
インパクト	effect
インパクト	influence
インフォメーション	information
インフラ	infrastructure
インフルエンザ	influenza
インフルエンザ	flu
インフレ	inflation
インプット	input
インポート	import
インポート	imported goods
ウーマン	woman
ウール	wool
ウィーク	week
ウィークエンド	weekend
ウイークエンド	weekend
ウィークリー	weekly
ウィジェット	widget
ウイスキー	whisky
ウイスキー	whiskey
ウィスキー	whisky
ウィスキー	whiskey
ウインカー	blinker
ウインカー	indicator
ウィンター	winter
ウィンドウ	window
ウインドウ	window
ウインド	wind
ウインド	wind instrument
ウインド	window
ウィンド	wind
ウィンド	wind instrument
ウィンド	window
ウイルス	virus
ウィルス	virus
ウインク	wink
ウイング	winger
ウインタースポーツ	winter sports
ウェイト	weight
ウェイト	body weight
ウェイト	importance
ウエイト	weight
ウエイト	body weight
ウエイト	importance
ウェイトレス	waitress
ウェア	wear
ウェア	clothing
ウェア	dress
ウエア	wear
ウエア	clothing
ウエア	dress
ウェイ	way
ウェブ	web
ウエスタン	country and western music
ウエスト	waist
ウエスト	waistline
ウエスト	waist measurement
ウェスト	waist
ウェスト	waistline
ウェスト	waist measurement
ウエット	wet
ウエット	moist
ウェディングドレス	wedding dress
ウエディングドレス	wedding dress
ウェルカム	welcome
ウエルカム	welcome
ウォッカ	vodka
ウォッチング	watching
ウクレレ	ukulele
ウッド	wood
エージェンシー	agency
エージェント	agent
エージェント	secret agent
エージェント	spy
エース	ace
エース	leading player
エース	hotshot
エア	air
エアー	air
エアコン	air conditioner
エアコン	air conditioning
エアコン	aircon
エアゾール	aerosol
エアゾール	aerosol spray
エアバッグ	air bag
エアメール	airmail
エアメール	air mail
エアロビクス	aerobics
エイズ	acquired immune deficiency syndrome
エイト	eight
エイリアン	alien
エキサイト	excitement
エキス	essence
エキス	concentrate
エキス	concentrated stock
エクストラ	supernumerary
エキストラ	supernumerary
エキスパート	expert
エキスポ	expo
エキスポ	exposition
エクステンション	extension
エクスプレス	express
エキスプレス	express
エグゼクティブ	executive
エコー	echo
エコノミー	economy
エコノミー	economics
エコノミー	finance
エコノミスト	economist
エコロジー	ecology
エコロジー	environmental movement
エコロジー	environmentalism
エゴ	ego
エゴ	egoism
エゴ	egoist
エス	south
エス	sulfur
エス	small
エスカレーター	escalator
エスカレート	escalation
エスコート	escort
エステート	estate
エステティック	beauty treatment
エステティック	cosmetology
エステティック	beauty salon
エステティックサロン	beauty salon
エステティックサロン	beauty-treatment clinic
エステル	ester
エストロゲン	estrogen
エスニック	ethnic
エスプリ	spirit
エスプリ	esprit
エスプリ	wit
エチケット	politeness
エチケット	good manners
エチケット	courtesy
エッジ	edge
エッセイ	essay
エッセー	essay
エッセイスト	essayist
エッセンス	essence
エッセンス	extract
エッチ	indecent
エッチ	lewd
エッチ	sexy
エッチング	etching
エディション	edition
エディター	text editor
エディター	editor
エナジー	energy
エナメル	enamel
エナメル	enamel paint
エナメル	enameled leather
エネ	energy
エネルギー	energy
エネルギー	strength
エネルギー	power
エピソード	episode
エピソード	anecdote
エピソード	vignette
エピック	epic
エプロン	apron
エポック	epoch
エメラルド	emerald
エラー	error
エリート	elite
エリア	area
エレガンス	elegance
エレキ	electricity
エレキ	electric guitar
エレキギター	electric guitar
エレクトリック	electric
エレクトロニクス	electronics
エレベーター	elevator
エレベーター	lift
エロ	erotic
エロ	pornographic
エロ	obscene
エロス	eros
エロス	sexual desire
エロス	physical love
エンジニア	engineer
エンジニアリング	engineering
エンジョイ	enjoying
エンジョイ	enjoyment
エンジン	engine
エンジェル	angel
エンジェル	angel investor
エンゼル	angel
エンゼル	angel investor
エンターテインメント	entertainment
エンターテイメント	entertainment
エンタープライズ	enterprise
エンディング	ending
エントリー	applying for entry
エントリー	registering to participate
エントリー	post
エンド	end
エンド	ending
エンブレム	emblem
オーク	oak
オークション	auction
オークス	oaks
オッケー	okay
オッケー	not needed
オッケー	unnecessary
オーケー	okay
オーケー	not needed
オーケー	unnecessary
オーケストラ	orchestra
オーシャン	ocean
オーダー	order
オーダーメイド	custom-made
オーダーメイド	tailor-made
オーダーメイド	bespoke
オーチャード	orchard
オーディオ	audio
オーディション	audition
オート	auto
オート	automobile
オート	car
オートキャンプ	motor home camping
オートキャンプ	caravanning
オートクチュール	haute couture
オートバイ	motorcycle
オートバイ	motorbike
オートマチック	automatic firearm
オートマチック	automatic transmission
オートメーション	automation
オートロック	automatic lock
オートロック	automatic door-locking system
オード	ode
オードブル	party platter
オードブル	assorted food tray
オードブル	catering platter
オーバー	overcoat
オーバー	exceeding
オーバー	going over
オーバーヒート	overheating
オーバーヒート	overexcitement
オーバーラップ	overlap
オーバーラン	overshoot
オーブン	oven
オープニング	opening
オープニング	start
オープニング	launch
オープンカー	open-top car
オープンカー	convertible
オープンカー	soft-top
オープンセット	open set
オーボエ	oboe
オーラ	aura
オールスターキャスト	all-star cast
オールドガード	old guard
オールナイト	all-night
オールマイティ	almighty
オールマイティ	wild card
オーロラ	aurora
オアシス	oasis
オイル	oil
オイル	petroleum
オイル	lubricant
オイルフェンス	oil fence
オカルト	occult
オクターブ	octave
オケ	orchestra
オゾン	ozone
オゾンホール	ozone hole
オタク	otaku
オタク	geek
オタク	nerd
オピニオン	opinion
オピニオンリーダー	opinion leader
オフ	off-season
オフ	offset
オフ	off-road
オフィシャル	official
オフィス	office
オフサイド	offside
オフシーズン	off-season
オフレコ	off-the-record
オフロード	off-road
オブザーバー	observer
オブザーバ	observer
オブジェ	item of artwork
オブジェ	object
オブジェ	curio
オプション	option
オプション	choice
オプション	optional extra
オペ	operation
オペラ	opera
オペレーション	operation
オペレーター	operator
オペレッタ	operetta
オムニバス	omnibus
オムレツ	omelette
オムレツ	omelet
オメガ	end
オメガ	conclusion
オメガ	ending
オラクル	oracle
オラトリオ	oratorio
オランウータン	orang-utan
オランウータン	orangutang
オリエンテーション	orientation
オリエンテーリング	orienteering
オリゴマー	oligomer
オリジナリティー	originality
オリジナル	original
オリジナル	signature
オリジナル	exclusive
オルグ	organizer
オルグ	organiser
オルグ	organizing
オルゴール	music box
オルゴール	musical box
オンエア	broadcasting
オンス	ounce
オンパレード	display
オンブズマン	ombudsman
オンライン	online
カー	car
カースト	caste
カーソル	cursor
カーチェイス	car chase
カーテン	curtain
カーテン	curtains
カーディガン	cardigan
カート	kart
カート	go-kart
カートリッジ	cartridge
カード	credit card
カード	debit card
カード	card
カーニバル	carnival
カーフェリー	car ferry
カーブ	curve
カーブ	turn
カーブ	bend
カーペット	carpet
カーボン	carbon
カーリング	curling
カール	ringlet
カーレース	car race
カーン	kern
カイト	kite
カウチポテト	couch potato
カウチポテト	television addict
カウボーイ	cowboy
カウンセラー	counselor
カウンセラー	counsellor
カウンセリング	counseling
カウンター	counter
カウンター	counting device
カウンター	bar
カウント	count
カウント	counting
カウント	count of balls and strikes
カオス	chaos
カクテル	cocktail
カジノ	casino
カスタム	customization
カスタム	customs duty
カスバ	kasbah
カスバ	casbah
カスバ	qasbah
カセット	game cartridge
カセットテープ	cassette tape
カタル	catarrh
カタログ	catalog
カタログ	catalogue
カッター	cutter
カッター	cutting tool
カッター	box cutter
カット	cut
カット	cutting
カット	omission
カップリングシュガー	coupling sugar
カップル	couple
カツ	katsu
カテーテル	catheter
カテゴリ	category
カテゴリー	category
カデンツ	cadence
カヌー	canoe
カバー	cover
カバー	covering
カバー	dust jacket
カフェ	cafe
カフェ	coffeehouse
カフェイン	caffeine
カフェテリア	cafeteria
カフス	cuffs
カブ	cub
カプセル	capsule
カプラー	coupler
カマーバンド	cummerbund
カム	cam
カムバック	comeback
カメラ	camera
カメラマン	photographer
カメラマン	cameraman
カメラマン	camera operator
カメレオン	chameleon
カヤック	kayak
カラー	color
カラー	colour
カラー	character
カラーコーディネーター	color coordinator
カラーコーディネーター	colour coordinator
カラード	coloured
カラオケ	karaoke
カラット	carat
カリキュラム	curriculum
カリスマ	charism
カリスマ	charismatic person
カリスマ	celebrity
カルキ	chlorinated lime
カルキ	calcium hypochlorite
カルキ	chloride of lime
カルダモン	cardamom
カルダモン	cardamon
カルチャー	culture
カルチャーショック	culture shock
カルチャーセンター	cultural center
カルチャーセンター	cultural centre
カルテ	clinical records
カルテット	quartet
カルテル	cartel
カルデラ	caldera
カルト	cult
カルバドス	calvados
カルメラ	honeycomb toffee
カルメラ	sponge toffee
カレー	rice and curry
カレッジ	college
カレンシー	currency
カレンダー	calendar
カローラ	corolla
カロチン	carotene
カロリー	calorie
カンガルー	kangaroo
カンタータ	cantata
カンツォーネ	canzone
カント	cant
カンニング	cribbing
カンパ	fundraising campaign
カンパ	contribution
カンフル	camphor
カンフル	shot in the arm
カンフル	stimulus
ガーゼ	gauze
ガーデン	garden
ガード	guarding
ガード	guard
ガードマン	security guard
ガードレール	guardrail
ガール	girl
ガールフレンド	girl friend
ガールフレンド	girlfriend
ガイ	guy
ガイダンス	guidance
ガイド	guide
ガイド	tour guide
ガイド	conductor
ガイドブック	guidebook
ガウン	gown
ガウン	elegant dress
ガウン	dressing gown
ガジェット	gadget
ガス	poison gas
ガス	dense fog
ガス	thick fog
ガスタービン	gas turbine
ガストアルバイター	foreign worker
ガスボンベ	gas cylinder
ガスマスク	gas mask
ガソール	gasohol
ガソリン	gasoline
ガソリン	petrol
ガソリンスタンド	gas station
ガソリンスタンド	petrol station
ガソリンスタンド	filling station
ガッツ	guts
ガット	catgut
ガボット	gavotte
ガム	chewing gum
ガム	gum
ガム	rubber
ガラス	glass
ガラス	pane
ガリバー	preeminent example of its kind
ガレージ	garage
ガロン	gallon
ガン	gun
ガンマ	gamma
キー	key
キー	clue
キーステーション	key station
キーステーション	flagship station
キーパー	goalkeeper
キーパー	keeper
キーパー	goalie
キープ	to retain possession
キーホルダー	keychain
キーホルダー	key chain
キーボード	keyboard
キーポイント	key point
キーポイント	the key
キーマン	keyman
キール	keel
キーワード	key word
キーワード	key phrase
キーワード	clue
キウイ	kiwifruit
キウイ	kiwi fruit
キウイ	kiwi
キオスク	kiosk
キヨスク	kiosk
キス	kiss
キック	kick
キックオフ	kickoff
キックボクシング	kickboxing
キックボクシング	kick-boxing
キッチン	kitchen
キッチン	chitin
キット	kit
キッド	kid
キネシオロジー	kinesiology
キムチ	kimchi
キムチ	kimchee
キメラ	chimera
キメラ	chimaera
キャスター	caster
キャスター	newscaster
キャスター	news anchor
キャスティング	casting
キャスト	cast member
キャスト	role
キャッシュ	cache
キャッシュカード	cash card
キャッシング	caching
キャッチ	catch
キャッチ	catching
キャッチ	shop tout
キャッチフレーズ	catchphrase
キャッチャー	catcher
キャットウォーク	cat shelves
キャットウォーク	cat bridge
キャットウォーク	runway
キャディー	caddie
